Projections	Frames	Exposure(ms)
512	1	354.00
Projection	Angle(deg)	Time(s)
444	312.0774	  160.72318250000001
445	312.7651	         161.0771776
446	313.4800	         161.4312582
447	314.1658	         161.7852455
448	314.8809	  162.13923579999999
449	315.5933	  162.49334089999999
450	316.2810	         162.8473357
451	316.9961	  163.20130259999999
452	317.6812	  163.55541779999999
453	318.3965	         163.9093412
454	319.1084	         164.2633372
455	319.7966	  164.61739080000001
456	320.5117	  164.97137599999999
457	321.1970	  165.32538629999999
458	321.9121	  165.67945230000001
459	322.6270	          166.033478
460	323.3123	         166.3873911
461	324.0273	         166.7414699
462	324.7124	         167.0955366
463	325.4275	  167.44945799999999
464	326.1399	         167.8034567
465	326.8279	  168.15745849999999
466	327.5430	  168.51148800000001
467	328.2283	  168.86564920000001
468	328.9434	         169.2195203
469	329.6582	         169.5736891
470	330.3435	  169.92769530000001
471	331.0586	  170.28163609999999
472	331.7439	  170.63572880000001
473	332.4587	         170.9896569
474	333.1738	         171.3436011
475	333.8591	         171.6978368
476	334.5740	  172.05173690000001
477	335.2590	         172.4058512
478	335.9746	  172.75966030000001
479	336.6895	  173.11379980000001
480	337.3748	  173.46777979999999
481	338.0898	  173.82183459999999
482	338.7751	  174.17576980000001
483	339.4900	         174.5298319
484	340.2051	         174.8838494
485	340.8901	          175.237968
486	341.6055	         175.5919255
487	342.2908	  175.94591800000001
488	343.0059	  176.29993039999999
489	343.7207	         176.6539373
490	344.4060	  177.00792630000001
491	345.1211	  177.36188079999999
492	345.8064	         177.7159814
493	346.5210	  178.07010500000001
494	347.2363	  178.42402939999999
495	347.9214	         178.7781071
496	348.6367	         179.1320187
497	349.3218	  179.48603969999999
498	350.0371	          179.840056
499	350.7517	  180.19407369999999
500	351.4373	  180.54810900000001
501	352.1523	  180.90213660000001
502	352.8374	         181.2561551
503	353.5525	  181.61024800000001
504	354.2676	  181.96418420000001
505	354.9526	  182.31827129999999
506	355.6677	  182.67220699999999
507	356.3530	  183.02632879999999
508	357.0681	         183.3802311
509	357.7832	  183.73425760000001
510	358.4685	  184.08826819999999
511	359.1838	         184.4422854
512	359.8967	  184.79635669999999
513	360.5835	          185.150341
